LATITUDE,LONGITUDE
35.04022222,-106.6091944
33.64044444,-84.42694444
30.19453278,-97.66987194
41.93887417,-72.68322833
33.56294306,-86.75354972
36.12447667,-86.67818222
42.3643475,-71.00517917
42.94052472,-78.73216667
34.20061917,-118.3584969
39.17540167,-76.66819833
32.89864639,-80.04050583
41.41089417,-81.84939667
35.21401111,-80.94312583
39.99798528,-82.89188278
39.04614278,-84.6621725
32.84711389,-96.85177222
38.85208333,-77.03772222
39.85840806,-104.6670019
32.89595056,-97.0372
42.21205889,-83.34883583
31.80666667,-106.3778056
40.69249722,-74.16866056
26.07258333,-80.15275
29.64541861,-95.27888889
38.94453194,-77.45580972
29.98047222,-95.33972222
39.71732917,-86.29438417
30.49405556,-81.68786111
40.63975111,-73.77892556
36.08036111,-115.1523333
33.94253611,-118.4080744
40.77724306,-73.87260917
34.72939611,-92.22424556
39.29760528,-94.71390556
28.42888889,-81.31602778
41.7859825,-87.75242444
35.04241667,-89.97666667
25.79325,-80.29055556
42.94722222,-87.89658333
44.88054694,-93.2169225
29.99338889,-90.25802778
37.72129083,-122.2207167
35.39308833,-97.60073389
41.30251861,-95.89417306
34.056,-117.6011944
41.979595,-87.90446417
36.89461111,-76.20122222
26.68316194,-80.09559417
45.58872222,-122.5975
39.87195278,-75.24114083
33.43416667,-112.0080556
40.49146583,-80.23287083
41.72399917,-71.42822111
35.87763889,-78.78747222
37.50516667,-77.31966667
39.49857611,-119.7680647
26.53616667,-81.75516667
32.73355611,-117.1896567
29.53369444,-98.46977778
38.17438889,-85.736
47.44898194,-122.3093131
37.61900194,-122.3748433
37.36186194,-121.9290089
40.78838778,-111.9777731
38.69542167,-121.5907669
33.67565861,-117.8682225
38.74768694,-90.35998972
27.97547222,-82.53325
36.19837222,-95.88824167
32.11608333,-110.9410278
40.65236278,-75.44040167
32.41132,-99.68189722
45.44905556,-98.42183333
31.535515,-84.19447333
41.25305194,-70.06018139
31.61128833,-97.23051917
40.97811528,-124.1086189
39.45758333,-74.57716667
31.32737167,-92.54855611
33.369955,-81.96449611
42.74811944,-73.80297861
42.55708139,-92.40034361
35.2193725,-101.7059272
45.0780675,-83.56028583
43.99192222,-76.02173861
39.22316,-106.868845
44.25740806,-88.51947556
35.43619444,-82.54180556
41.33814944,-75.7242675
42.234875,-85.5520575
35.43359806,-119.0567681
42.20848278,-75.97961361
44.80744444,-68.82813889
45.8076625,-108.5428611
46.77411111,-100.7467222
47.50942417,-94.93372333
48.79275,-122.5375278
40.47798556,-88.91595278
43.56444444,-116.2227778
29.95083333,-94.02069444
31.25902778,-81.46630556
46.39785806,-94.1372275
25.90683333,-97.42586111
45.95479528,-112.49746
30.53316083,-91.14963444
44.47300361,-73.1503125
45.77690139,-111.1530072
33.93884,-81.11953944
40.91631194,-81.44246556
37.70097028,-113.098575
41.78015722,-124.2365333
35.03526833,-85.20378778
38.13863889,-78.45286111
39.79538278,-121.8584231
41.88458833,-91.71087222
46.25075194,-84.47238528
33.127231,-117.278727
30.58858944,-96.36382417
40.03925,-88.27805556
47.16841722,-88.48906083
38.75495611,-109.7548439
44.52019417,-109.0237961
38.80580556,-104.70025
38.81809306,-92.21962917
42.90835556,-106.4644661
27.77036083,-97.50121528
38.37315083,-81.59318972
32.51633333,-84.93886111
44.77761917,-89.66677944
41.1557225,-104.8118381
29.17991667,-81.05805556
39.90237583,-84.219375
42.40295944,-90.70916722
31.32133917,-85.44962889
46.79738889,-102.8019528
46.84209028,-92.19364861
37.15151667,-107.7537692
29.37181222,-100.9232339
41.53493306,-93.66068222
48.11424528,-98.90877833
44.86525722,-91.48507194
39.64256778,-106.9176953
40.82492611,-115.7916964
42.15991361,-76.89144333
42.08202139,-80.17621556
45.72266972,-87.09373139
44.12326,-123.2186856
38.03799139,-87.53062667
35.07297222,-77.04294444
24.55611111,-81.75955556
46.91934889,-96.81498889
36.77619444,-119.7181389
34.99147222,-78.88
48.31140472,-114.2550694
35.13845472,-111.6712183
34.18536111,-79.72388889
42.96550333,-83.74345639
38.95095194,-95.66361444
43.58135111,-96.74170028
35.33659028,-94.36744111
40.97846583,-85.19514639
44.34889806,-105.5393614
37.92751556,-100.7244147
47.61985556,-117.5338425
47.949255,-97.17611111
32.38486111,-94.71171
39.1224125,-108.5267347
29.69005556,-82.27177778
30.40728028,-89.07009278
44.48507333,-88.12959
40.96747222,-98.30861111
31.06489778,-97.82779778
42.88081972,-85.52276778
36.09774694,-79.9372975
34.89566722,-82.21885833
47.48200194,-111.3706853
33.45033444,-88.59136861
38.53396333,-106.9331817
40.48118028,-107.2176597
47.38659917,-92.83899333
46.60681806,-111.9827503
32.68752778,-103.2170278
41.06695778,-73.70757444
26.22850611,-97.65439389
34.6404475,-86.77310944
38.36666667,-82.55802778
41.66933639,-70.28035583
38.84494167,-99.27403361
37.64995889,-97.43304583
43.51455556,-112.0701667
39.67872222,-75.60652778
34.27061111,-77.90255556
45.81835417,-88.1145425
48.56618722,-93.40306667
32.83422028,-115.5787456
48.17793861,-103.6423467
40.7952425,-73.10021194
42.49102778,-76.45844444
35.65884306,-117.8295122
43.60732417,-110.7377389
32.31116667,-90.07588889
37.15181361,-94.49826833
46.92971944,-98.67819528
42.7787,-84.58735806
41.31205,-105.6749864
34.56771444,-98.41663667
33.66363889,-101.8227778
30.1260975,-93.22340361
38.03697222,-84.60538889
30.20527972,-91.987655
33.81772222,-118.1516111
42.15614361,-121.7332081
40.85097222,-96.75925
27.54373861,-99.46154361
43.87937972,-91.25653778
37.85830556,-80.39947222
46.37449806,-117.0153944
37.32668528,-79.20043056
31.94252778,-102.2019139
43.53291472,-84.07964722
32.69284944,-83.64921083
40.19349528,-76.76340361
32.33313333,-88.75120556
26.17583333,-98.23861111
42.37422778,-122.8734978
32.30064417,-86.39397611
39.14096722,-96.67083278
42.93451639,-71.43705583
43.16948806,-86.23822306
28.10275,-80.64580556
41.44852639,-90.50753917
32.51086556,-92.03768778
37.62404861,-118.8377722
30.69141667,-88.24283333
37.62581722,-120.9544214
48.25937778,-101.2803339
46.353639,-87.395361
36.5869825,-121.8429478
43.13985778,-89.33751361
46.91630556,-114.0905556
38.50886722,-107.8938333
41.39302583,-70.6143325
47.20770806,-119.3201897
33.67975,-78.92833333
34.82916444,-77.61213778
42.26733944,-71.87570944
43.41713889,-124.2460278
34.20080083,-119.2072164
37.06083333,-88.77375
30.21208333,-85.68280556
37.13189556,-76.4929875
40.66424333,-89.69330556
31.46714944,-89.33705778
27.91076333,-82.68743944
42.91130556,-112.5958611
44.38267694,-100.285965
45.5709275,-84.796715
30.47330556,-87.18744444
46.26468028,-119.1190292
33.82921556,-116.5062531
38.28908722,-104.4965722
43.64616667,-70.30875
44.04532139,-103.0573708
40.50898361,-122.2934019
44.25406722,-121.1499633
42.19536389,-89.09721111
45.63119306,-89.46745361
41.5942175,-109.0651928
37.32546833,-79.97542833
43.11886611,-77.67238389
33.30155556,-104.5305556
43.90882639,-92.49798722
35.61677778,-106.0881389
32.12758333,-81.20213889
34.42621194,-119.8403733
41.70895361,-86.31847417
35.23705806,-120.6423931
40.851206,-77.846302
37.24432611,-93.38685806
37.09058333,-113.5930556
38.26384333,-78.89643806
32.4466275,-93.82559833
31.35775,-100.4963056
34.89924833,-120.4575825
39.84395194,-89.67761861
33.98879611,-98.49189333
27.39533333,-82.55411111
45.54532417,-94.05833667
43.50484139,-114.2965903
42.40260333,-96.38436694
41.50409361,-74.10483833
43.11118694,-76.10631056
37.95375861,-107.90848
30.39652778,-84.35033333
41.58680556,-83.80783333
36.47521417,-82.40742056
40.27669111,-74.81346833
34.26810833,-88.769895
44.74144472,-85.582235
42.48180389,-114.4877356
33.45370806,-93.99102
32.35413889,-95.40238611
35.81248722,-83.99285583
40.44090167,-109.5099203
30.7825,-83.27672222
30.48325,-86.5254
44.68839917,-111.1176375
36.28186944,-94.30681111
32.65658333,-114.6059722
